"Main_gene_name","frequency"
"CYP27B1",18
"DDX3X",18
"EDAR",18
"GAMT",18
"GLRA1",18
"HRAS",18
"KCNA1",18
"KRT12",18
"KRT17",18
"MTOR",18
"NR0B1",18
"PNPLA6",18
"PRNP",18
"PTCH1",18
"RDH5",18
"SETBP1",18
"SLC7A7",18
"SMN1",18
"SOX9",18
"TREX1",18
"UBR1",18
"APP",17
"ARMC5",17
"COQ2",17
"EFHC1",17
"F13A1",17
"GUCA1A",17
"LGI1",17
"MAPT",17
"MYH9",17
"MYPN",17
"NPHP4",17
"PHKA2",17
"PRKAR1A",17
"PYGM",17
"SLC20A2",17
"SLC25A1",17
"ACTA2",16
"ACTG1",16
"ALDOB",16
"ALK",16
"CLN8",16
"CPOX",16
"DNMT3A",16
"DNMT3B",16
"EYS",16
"FBLN5",16
"FSHR",16
"GALE",16
"GARS1",16
"GATA6",16
"GNB1",16
"HCN1",16
"KRT10",16
"KRT16",16
"MATN3",16
"MFSD8",16
"MPV17",16
"NF2",16
"NR2E3",16
"NYX",16
"PCCA",16
"PRODH",16
"PROKR2",16
"PRPS1",16
"QDPR",16
"SUMF1",16
"TBC1D24",16
"VCP",16
"ABCC9",15
"ALDH18A1",15
"ANOS1",15
"C19orf12",15
"CPT1A",15
"ERCC4",15
"EYA1",15
"GH1",15
"GNAO1",15
"HSD17B3",15
"INPP5E",15
"ITGB2",15
"KRT2",15
"MLC1",15
"NOD2",15
"POLR3A",15
"POMT2",15
"PORCN",15
"TGFBR1",15
"ABCA12",14
"ADAMTSL2",14
"AFG3L2",14
"ANG",14
"ASAH1",14
"CACNA1C",14
"CACNA1E",14
"COCH",14
"COL6A3",14
"CRLF1",14
"CTNNB1",14
"DMD",14
"EARS2",14
"ECHS1",14
"FLT4",14
"GDF6",14
"GNRHR",14
"GSS",14
"HADHB",14
"HJV",14
"HSD11B2",14
"ITGB4",14
"IVD",14
"KIF5A",14
"MMACHC",14
"MPL",14
"MYH3",14
"MYO5B",14
"NCF2",14
"NR3C2",14
"NRAS",14
"NSD1",14
"OSGEP",14
"OTOF",14
"PEX1",14
"PHYH",14
"PIGA",14
"RNASEH2B",14
"RTEL1",14
"SKI",14
